Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Big Sky Resort,Montana,Montana,11166,4350,7500,1,1.0,2,5,3,7,5,12,36,317.0,8.0,6.0,5800.0,400.0,144.0,46.0,400.0,,,144.0,
Big Mountain Resort,Montana,Montana,6817,2353,4464,0,0.0,0,3,2,6,0,3,14,105.0,4.0,3.3,3000.0,600.0,123.0,72.0,333.0,81.0,81.0,123.0,600.0
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,0.0,1,15,4,3,5,9,40,336.0,10.0,5.3,5517.0,658.0,138.0,72.0,300.0,179.0,179.0,138.0,
Breckenridge,Colorado,Colorado,12998,3398,9600,1,0.0,5,6,0,1,6,15,34,187.0,4.0,3.5,2908.0,600.0,182.0,58.0,300.0,,,163.0,
Keystone,Colorado,Colorado,12408,3128,9280,2,0.0,2,4,1,1,2,8,20,128.0,1.0,3.5,3148.0,662.0,184.0,49.0,235.0,,,,288.0
Steamboat,Colorado,Colorado,10568,3668,6900,1,0.0,1,6,0,5,2,3,18,169.0,4.0,3.0,2965.0,375.0,145.0,56.0,336.0,,,145.0,30.0
Telluride,Colorado,Colorado,13150,4425,8725,2,0.0,0,6,1,2,2,4,17,148.0,3.0,4.6,2000.0,220.0,131.0,47.0,280.0,139.0,139.0,137.0,
Vail,Colorado,Colorado,11570,3450,8120,2,0.0,3,15,1,1,0,9,31,195.0,3.0,4.0,5289.0,461.0,149.0,57.0,354.0,,,142.0,
Winter Park Resort,Colorado,Colorado,12060,3060,9000,1,0.0,2,7,0,4,6,5,25,166.0,7.0,4.9,3081.0,313.0,158.0,79.0,360.0,,,151.0,
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0.0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,,152.0,50.0,500.0,90.0,90.0,152.0,
Jackson Hole,Wyoming,Wyoming,10450,4139,6311,3,0.0,0,4,4,1,2,1,15,130.0,6.0,4.5,2500.0,195.0,130.0,54.0,459.0,,,133.0,
Schweitzer,Idaho,Idaho,6400,2400,4000,0,0.0,1,2,0,1,3,2,9,92.0,3.0,2.1,2900.0,47.0,136.0,56.0,300.0,81.0,81.0,,100.0
Sun Valley,Idaho,Idaho,9150,3400,5750,1,0.0,0,9,0,3,2,3,18,120.0,7.0,3.0,2054.0,645.0,149.0,83.0,220.0,,,137.0,
Deer Valley Resort,Salt Lake City,Utah,9570,3000,6570,1,0.0,0,13,0,5,2,0,21,103.0,,2.8,2026.0,660.0,,39.0,300.0,169.0,169.0,,
Park City,Salt Lake City,Utah,10000,3200,6800,4,0.0,6,10,4,7,4,6,41,341.0,8.0,3.5,7300.0,750.0,142.0,56.0,355.0,,,143.0,
Powder Mountain,Utah,Utah,9422,2522,6900,0,0.0,0,1,4,1,0,3,9,167.0,2.0,3.5,8464.0,,120.0,47.0,500.0,88.0,88.0,146.0,300.0
Snowbasin,Utah,Utah,9350,2900,6450,3,0.0,1,2,0,3,0,2,11,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,300.0,115.0,115.0,138.0,
Snowbird,Salt Lake City,Utah,11000,3240,7760,1,0.0,0,6,0,0,4,3,14,170.0,1.0,2.5,2500.0,,188.0,48.0,500.0,125.0,125.0,180.0,2.0
